title,description,summary,pubDate,url
ジャック・ドーシー氏、ビットコイン開発ファンドにラッパーのJay-Zと500ビットコイン出資,TwitterとSquareのCEO、ジャック・ドーシー氏がラッパーのJay-Zとともにビットコイン開発支援ファンド「Btrust」を立ち上げ、500ビットコイン（約25億円相当）出資した。まずはインドとアフリカにフォーカスする。,TwitterとSquareのCEO、ジャック・ドーシー氏がラッパーのJay-Zとともにビットコイン開発支援ファンド「Btrust」を立ち上げ、500ビットコイン（約25億円相当）出資した。まずはインドとアフリカにフォーカスする。,Mon Feb 15 2021 09:49:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/news/articles/2102/15/news070.html
日経平均、一時3万円台回復　30年6カ月ぶり,日経平均が心理的な節目となる3万円を一時回復した。バブル崩壊直後の1990年8月以来、30年6カ月ぶり。,日経平均が心理的な節目となる3万円を一時回復した。バブル崩壊直後の1990年8月以来、30年6カ月ぶり。,Mon Feb 15 2021 09:49:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2102/15/news069.html
Facebook、スマートウォッチを来年発売か──米報道,Facebookがオリジナルのスマートウォッチを開発しており、来年にも発売すると米The Informationが報じた。セルラーモデルで「Facebook Messenger」をやり取りでき、ヘルスケアやフィットネス機能を搭載する。,Facebookがオリジナルのスマートウォッチを開発しており、来年にも発売すると米The Informationが報じた。セルラーモデルで「Facebook Messenger」をやり取りでき、ヘルスケアやフィットネス機能を搭載する。,Mon Feb 15 2021 07:43:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/news/articles/2102/15/news060.html
パスワード使い回しや「Windows 7」使用、不正侵入を招いた水道システム管理の実情,市の浄水システムに侵入し、飲料水を操作しようとした行為が見つかった。これは氷山の一角だという。,市の浄水システムに侵入し、飲料水を操作しようとした行為が見つかった。これは氷山の一角だという。,Mon Feb 15 2021 07:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/news/articles/2102/15/news055.html
Microsoftのイベントは2021年もデジタル化が続くのか,2021年7月まではリアルイベントを開催しないと宣言し、完全なデジタルイベントを展開している米Microsoftだが、今後の動きはどうなるのだろうか。現状を整理した。,2021年7月まではリアルイベントを開催しないと宣言し、完全なデジタルイベントを展開している米Microsoftだが、今後の動きはどうなるのだろうか。現状を整理した。,Mon Feb 15 2021 06:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/pcuser/articles/2102/15/news056.html
パソナの淡路島移転は「島流し」なのか？　移住した副社長が感じた“思った以上のポテンシャル”とは,パソナグループは、東京にある本社機能の一部を淡路島へ移転させている。移住した副社長に環境や社員の働き方がどう変わったのか聞いた。副社長は思った以上のポテンシャルを感じている。,パソナグループは、東京にある本社機能の一部を淡路島へ移転させている。移住した副社長に環境や社員の働き方がどう変わったのか聞いた。副社長は思った以上のポテンシャルを感じている。,Mon Feb 15 2021 05:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2102/15/news039.html
アニメ「鬼滅の刃」2期、年内のテレビ放映が決定　「こっからはド派手に行くぜ」,テレビアニメ「鬼滅の刃」の第2期「遊郭編」の年内放送が決まった。同日、公式サイトとPV第1弾も公開している。,テレビアニメ「鬼滅の刃」の第2期「遊郭編」の年内放送が決まった。同日、公式サイトとPV第1弾も公開している。,Sun Feb 14 2021 23:06:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/news/articles/2102/14/news034.html
福岡県の住みここちランキング　2位「天神」、3位「六本松」、1位は？,「いい部屋ネット 街の住みここちランキング2020 福岡県版」 「住みたい街ランキング2020 福岡都市圏版」。結果は？,「いい部屋ネット 街の住みここちランキング2020 福岡県版」 「住みたい街ランキング2020 福岡都市圏版」。結果は？,Sun Feb 14 2021 18:52:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2102/14/news010.html
Googleが「Stadia」のオリジナルゲーム製作をあきらめた理由,Googleが、ゲームクラウド「Stadia」のオリジナルゲーム製作のために立ち上げたスタジオを閉鎖する。「アサシン クリード」などを手掛けたカリスマが率いるチームは解散。オリジナルゲームは生まれなかった。,Googleが、ゲームクラウド「Stadia」のオリジナルゲーム製作のために立ち上げたスタジオを閉鎖する。「アサシン クリード」などを手掛けたカリスマが率いるチームは解散。オリジナルゲームは生まれなかった。,Sun Feb 14 2021 16:05:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/news/articles/2102/14/news017.html
「インスタントスープ」どんな商品が人気？　売れ筋ランキングからピックアップ！【2021年2月版】,ランチの時の副菜としてはもちろん、小腹満たしにも使える「インスタントスープ」。どのようなものが人気なのでしょうか。Amazonや楽天市場などの人気ランキングを参考に、おすすめのものを紹介します。,ランチの時の副菜としてはもちろん、小腹満たしにも使える「インスタントスープ」。どのようなものが人気なのでしょうか。Amazonや楽天市場などの人気ランキングを参考に、おすすめのものを紹介します。,Sun Feb 14 2021 13:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/fav/articles/2102/14/news024.html
PR： “電子コミックの父”BookLive淡野社長が語る、「紙書籍と電子書籍」のこれまでとこれから,2021年に創業10周年を迎えたBookLive。社長の淡野正氏は、同社を立ち上げる以前から電子書籍に携わり、中でもマンガの電子化に尽力してきた「電子コミックの父」とも呼べる存在だ。本記事では淡野社長に、電子書籍業界のこれまでとこれからや、BookLiveの歴史について話を聞く。,2021年に創業10周年を迎えたBookLive。社長の淡野正氏は、同社を立ち上げる以前から電子書籍に携わり、中でもマンガの電子化に尽力してきた「電子コミックの父」とも呼べる存在だ。本記事では淡野社長に、電子書籍業界のこれまでとこれからや、BookLiveの歴史について話を聞く。,Mon Feb 15 2021 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2102/16/news001.html
PR： コロナ禍のコミュニケーションを成功させたサンリオピューロランドのチームマネジメント,,,Mon Feb 15 2021 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2102/01/news005.html
PR： 日本の半導体業界が持つ大きな可能性――「日本は顧客と生産という2つの視点で極めて重要な国」ウエスタンデジタル生産担当役員が語る,,,Mon Feb 08 2021 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2102/09/news001.html
PR： DX実現の第一歩は、クラウドとアジャイル開発による「内製化」,,,Fri Feb 05 2021 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2102/04/news001.html
PR： コロナ禍で営業活動にも逆風　ビジネスを止めないためにITをどう生かすべきか,企業の営業活動に対する新型コロナの影響は計り知れない。この窮地をテクノロジーでどのように切り抜けるべきか。マーケティングやセールスにおけるデジタル改革の専門家に聞いた。,企業の営業活動に対する新型コロナの影響は計り知れない。この窮地をテクノロジーでどのように切り抜けるべきか。マーケティングやセールスにおけるデジタル改革の専門家に聞いた。,Fri Feb 05 2021 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2101/25/news007.html
PR： 「情シスは将来的に利益を生む“投資部門”」　フィンテック企業の若きリーダーが描く“フルクラウドのススメ”,,,Thu Feb 04 2021 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2101/26/news006.html
PR： テレワークでの連携不足、会えない研修、かさむITコスト……どう解決？　“効率が上がるSaaS×DX事例”を「HENNGE NOW!」で学ぶ,,,Tue Feb 02 2021 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2102/04/news005.html
PR： 在宅勤務で「従業員エンゲージメント」が課題に　人事部門が果たすべき役割は？,コロナ禍の影響からテレワークを導入する企業が増えるなか、組織内のコミュニケーション不足を起因とする「従業員エンゲージメント」への影響が懸念されている。ビジネス環境の変化に強い組織を作るために人事部門は何をすべきだろうか。,コロナ禍の影響からテレワークを導入する企業が増えるなか、組織内のコミュニケーション不足を起因とする「従業員エンゲージメント」への影響が懸念されている。ビジネス環境の変化に強い組織を作るために人事部門は何をすべきだろうか。,Mon Feb 01 2021 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2102/01/news008.html
PR： 丁寧メール・内線文化がなくなる？　神戸市役所に学ぶ、自治体のチャット活用成功例,自治体として先進的なIT活用をしていることで知られる神戸市役所。1万人以上のコミュニケーションを円滑にし、高い生産性を維持して働くための基盤として導入したのが、ネオジャパンのチャットツール「ChatLuck」だった。自治体ならではの課題や、セキュリティ面の不安をどうChatLuckで乗り越えたのか。,自治体として先進的なIT活用をしていることで知られる神戸市役所。1万人以上のコミュニケーションを円滑にし、高い生産性を維持して働くための基盤として導入したのが、ネオジャパンのチャットツール「ChatLuck」だった。自治体ならではの課題や、セキュリティ面の不安をどうChatLuckで乗り越えたのか。,Fri Jan 29 2021 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2102/01/news001.html
PR： コロナ禍で注目される研修などの動画配信　Web会議ツールでは不十分な理由とは？,新型コロナウイルスの影響により、多人数を一堂に集めた研修が行いにくくなっている。その代わりに注目されているのが、動画を利用した研修だ。そこで今回は、セキュリティに関する機能を豊富に搭載し、オンプレミス／クラウドの双方で運用できる動画配信プラットフォーム「viaPlatz」を紹介する。,新型コロナウイルスの影響により、多人数を一堂に集めた研修が行いにくくなっている。その代わりに注目されているのが、動画を利用した研修だ。そこで今回は、セキュリティに関する機能を豊富に搭載し、オンプレミス／クラウドの双方で運用できる動画配信プラットフォーム「viaPlatz」を紹介する。,Thu Jan 28 2021 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2101/28/news002.html
PR： コロナ禍でも受注率2倍以上に！　1件12円の“問い合わせフォーム送信”が、新規営業を改善する理由,,,Fri Jan 22 2021 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2101/22/news003.html
PR： コロナ禍という「ピンチ」を「チャンス」に変える、IT環境のベストプラクティスとは？,2020年は、コロナ禍に対して「守り」を固める企業が目立った。ただ、感染拡大の収束が見えない今後はITを活用した「攻め」の姿勢も求められる。では、そのためには何から手を付けていけばいいのだろうか？,2020年は、コロナ禍に対して「守り」を固める企業が目立った。ただ、感染拡大の収束が見えない今後はITを活用した「攻め」の姿勢も求められる。では、そのためには何から手を付けていけばいいのだろうか？,Mon Jan 18 2021 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2001/18/news030.html
PR： 変革期を迎える朝日新聞社のDX戦略　フリーランスエンジニアの採用に活路,,,Wed Jan 13 2021 10:10:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2101/13/news008.html
PR： 三井物産の「挑戦と創造」を支える新本社　働き方のコンセプトとその背景にあったものとは,本社移転とともにITインフラをアップデートした三井物産。次なる「挑戦と創造」実現のため、働き方のトランスフォーメーションに着目し選んだのが、シスコシステムズのソリューションだった。選定のポイントや導入効果などについて解説する。,本社移転とともにITインフラをアップデートした三井物産。次なる「挑戦と創造」実現のため、働き方のトランスフォーメーションに着目し選んだのが、シスコシステムズのソリューションだった。選定のポイントや導入効果などについて解説する。,Tue Jan 12 2021 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2012/25/news001.html
PR： 世界を激変させつつある先端コアテクノロジーの可能性,,,Wed Jan 06 2021 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2101/06/news002.html
PR： 「新リース会計」のインパクト！　無視できない理由と、その先にある資産管理の“進化の姿”とは,2019年1月から強制適用となった国際財務報告基準「IFRS」の最新基準であるIFRS16号。IFRS未適用の多くの日本企業にとって、これまで特に意識する必要のなかったこのリース会計基準への関心が、急速に高まっている。その背景には何があって、企業はどんな対応が必要なのだろうか。,2019年1月から強制適用となった国際財務報告基準「IFRS」の最新基準であるIFRS16号。IFRS未適用の多くの日本企業にとって、これまで特に意識する必要のなかったこのリース会計基準への関心が、急速に高まっている。その背景には何があって、企業はどんな対応が必要なのだろうか。,Thu Dec 24 2020 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2101/05/news001.html
PR： 横置き？　前後置き？　仕事の効率を高めるディスプレイの使い方,,,Wed Dec 23 2020 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2012/23/news008.html
PR： ビジネスを止めない――損保ジャパンは、7万人超のコミュニケーションを「リモート」でどう活性化したのか,テレワークの普及で新たに生まれた課題の一つが「コミュニケーション」だ。事業を継続実行しつつ、コミュニケーションを活性化し、これまで以上にビジネスを飛躍させるカギはどこにあるのか。Cisco Webex Meetingsを導入し、コロナ禍でリモートでのコミュニケーションを広げた損保ジャパンの事例を紹介する。,テレワークの普及で新たに生まれた課題の一つが「コミュニケーション」だ。事業を継続実行しつつ、コミュニケーションを活性化し、これまで以上にビジネスを飛躍させるカギはどこにあるのか。Cisco Webex Meetingsを導入し、コロナ禍でリモートでのコミュニケーションを広げた損保ジャパンの事例を紹介する。,Wed Dec 23 2020 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2012/09/news002.html
PR： デジタルマーケティングの新潮流　最新事例にみるコンテキスト広告とクリエイティブの可能性,,,Fri Dec 18 2020 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2012/18/news003.html
PR： 薄型軽量で約25時間のバッテリー駆動!?　ニューノーマル時代のモバイルPC「NB4」の衝撃,,,Thu Dec 17 2020 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2012/17/news007.html
PR： 福岡市から日本のDXを進める高島宗一郎市長を直撃「福岡がロールモデルとなり日本を変える」,,,Thu Dec 17 2020 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2012/21/news004.html
PR： ソニックガーデン倉貫義人社長に聞く　リモートでソフトウェア開発チームを作るには,,,Mon Dec 14 2020 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2012/15/news001.html
PR： 激しさを増す環境変化に適応し、ビジネスを加速させるには？　大規模調査で判明した、テレワークとIT投資の「急所」,コロナをきっかけにIT活用の機運が一気に高まった日本企業。一方、課題が山積することでどのような道筋を描けばよいのか悩む企業も多い。大規模調査で見えた、不確実性が高まり、環境変化が激しい時代に求められるテレワーク運用やIT投資のヒントを紹介する。,コロナをきっかけにIT活用の機運が一気に高まった日本企業。一方、課題が山積することでどのような道筋を描けばよいのか悩む企業も多い。大規模調査で見えた、不確実性が高まり、環境変化が激しい時代に求められるテレワーク運用やIT投資のヒントを紹介する。,Thu Dec 10 2020 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2012/08/news002.html
PR： LINEとAWSが強力タッグ　技術提供からマーケ支援まで丸ごとサポートする「DX駆け込み寺」の全貌,LINEが6月に「LINE DX Program with AWS」というプログラムの提供開始を発表した。アマゾン ウェブ サービス ジャパン（AWS）やAWSのパートナー企業と連携し、DXに関する技術提供やマーケティング支援などを行う「DX駆け込み寺」のようなプログラムだが、DXに悩む日本企業に対して、具体的にどんなサポートをしていくのだろうか。,LINEが6月に「LINE DX Program with AWS」というプログラムの提供開始を発表した。アマゾン ウェブ サービス ジャパン（AWS）やAWSのパートナー企業と連携し、DXに関する技術提供やマーケティング支援などを行う「DX駆け込み寺」のようなプログラムだが、DXに悩む日本企業に対して、具体的にどんなサポートをしていくのだろうか。,Thu Dec 10 2020 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2012/01/news001.html
PR： コンサルでもエンジニア派遣でもない、DX時代の課題解決を牽引する「バリューチェーン・イノベーター」とは？,,,Wed Dec 02 2020 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2012/02/news009.html
PR： 起業家育成、プログラミング教育、デジタルコイン　サツドラが北海道で仕掛ける地域コネクティッドビジネスとは？,,,Wed Dec 02 2020 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2012/09/news004.html
PR： コストもスキルも心配なし　「対面」できない時代に活用すべき、ビジネスアニメーションツールとは？,コロナ禍で「対面」の機会が失われる中、注目が集まる動画活用。とはいえ、動画の制作には専門のスキルを要し、コストもかさむ――そう考えられがちだろう。こうした課題を解決するのが、ビジネスアニメーション制作ツール「VYOND」だ。,コロナ禍で「対面」の機会が失われる中、注目が集まる動画活用。とはいえ、動画の制作には専門のスキルを要し、コストもかさむ――そう考えられがちだろう。こうした課題を解決するのが、ビジネスアニメーション制作ツール「VYOND」だ。,Wed Dec 02 2020 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2012/08/news001.html
PR： ビジネスを止めず、加速させる――沢渡あまね氏に聞く、これから求められる「ビジネスレジリエンス」のカギとは？,コロナ禍をきっかけに注目が集まる「ビジネスレジリエンス」。その一丁目一番地ともいえるのが、テレワークだ。日本企業へ一気に浸透したかに見えるテレワークだが、沢渡あまね氏は「緊急避難手段として、一過性の取り組みにとどまっている企業も多い」と指摘する。テレワークを起点にビジネスレジリエンスを高め、ビジネスを加速させるにはどうすればよいのだろうか？,コロナ禍をきっかけに注目が集まる「ビジネスレジリエンス」。その一丁目一番地ともいえるのが、テレワークだ。日本企業へ一気に浸透したかに見えるテレワークだが、沢渡あまね氏は「緊急避難手段として、一過性の取り組みにとどまっている企業も多い」と指摘する。テレワークを起点にビジネスレジリエンスを高め、ビジネスを加速させるにはどうすればよいのだろうか？,Tue Dec 01 2020 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2012/02/news001.html
PR： DX先進県・広島県の湯崎知事に聞く　いま、本当にDXのために必要なもの,「デジタルトランスフォーメーション（DX）」が一種のバズワードとして広がりを見せ、アフターコロナを見据えた競争力維持のために、今やあらゆる業種業界の垣根を超え、避けて通れないものとなっている。いま、DXのために必要なものとは何だろうか。自治体として早くからデジタル活用・DX推進に取り組み、10月にはオープンデータなどを提供する「データカタログサイト」をオープンした広島県の湯崎英彦知事にインタビューした。,「デジタルトランスフォーメーション（DX）」が一種のバズワードとして広がりを見せ、アフターコロナを見据えた競争力維持のために、今やあらゆる業種業界の垣根を超え、避けて通れないものとなっている。いま、DXのために必要なものとは何だろうか。自治体として早くからデジタル活用・DX推進に取り組み、10月にはオープンデータなどを提供する「データカタログサイト」をオープンした広島県の湯崎英彦知事にインタビューした。,Tue Dec 01 2020 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2011/25/news002.html
PR： 家業を継いだ老舗の魚屋で「バックオフィスDX」？　「出水田鮮魚」の挑戦,,,Fri Nov 27 2020 10:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2011/27/news003.html
[オレンジビジネスサービスジャパン株式会社] 「非接触で安全に」を求める顧客、カスタマーサポートは今後どう変わるべき？,コロナ危機の収束後も「非接触で安全にやりとりを行いたい」という顧客ニーズが継続するとみられる中、企業にはデジタルチャネルへの迅速な移行が求められている。その核となるカスタマーサポートで、優先すべき3つの事項とは？[製品資料],コロナ危機の収束後も「非接触で安全にやりとりを行いたい」という顧客ニーズが継続するとみられる中、企業にはデジタルチャネルへの迅速な移行が求められている。その核となるカスタマーサポートで、優先すべき3つの事項とは？[製品資料],Mon Feb 15 2021 00:00:00 GMT+0900 (日本標準時),https://wp.techtarget.itmedia.co.jp/contents/53425
[株式会社インターネットイニシアティブ] テレワークにおけるリスク対策状況をチェック――自社の現状を可視化,テレワークを採用する企業が増加する中、改めてセキュリティ対策を見直し、改善・強化していく必要性が高まっている。想定されるセキュリティリスクへの対策状況を洗い出し、取るべき対策をチェックリストとしてまとめた。[レポート],テレワークを採用する企業が増加する中、改めてセキュリティ対策を見直し、改善・強化していく必要性が高まっている。想定されるセキュリティリスクへの対策状況を洗い出し、取るべき対策をチェックリストとしてまとめた。[レポート],Fri Feb 12 2021 00:00:00 GMT+0900 (日本標準時),https://wp.techtarget.itmedia.co.jp/contents/53332
[アーム株式会社] スマホが変えたデジタル活用、これからのコンピューティングに必要な3要素とは,スマートフォンの登場で知識共有や娯楽は進化を遂げたが、一方でデジタルイマージョン（デジタルによる没入感）の実現に必要なコンピューティング性能も大きく引き上げられた。それを実現する新たな設計思想と、柱となる3つの要素とは？[製品資料],スマートフォンの登場で知識共有や娯楽は進化を遂げたが、一方でデジタルイマージョン（デジタルによる没入感）の実現に必要なコンピューティング性能も大きく引き上げられた。それを実現する新たな設計思想と、柱となる3つの要素とは？[製品資料],Tue Feb 09 2021 00:00:00 GMT+0900 (日本標準時),https://wp.techtarget.itmedia.co.jp/contents/53382
[リコージャパン株式会社] RPAで“継続的な業務改善”を加速、導入前の準備と運用のポイントとは？,業務改善の目的でRPA導入を検討している企業は多いだろう。もしくは、既に導入したものの、業務改善が思うように進んでいない企業もあるはずだ。RPAで業務改善を実現するには、とりわけ導入前の準備と推進体制の構築が重要になる。[製品資料],業務改善の目的でRPA導入を検討している企業は多いだろう。もしくは、既に導入したものの、業務改善が思うように進んでいない企業もあるはずだ。RPAで業務改善を実現するには、とりわけ導入前の準備と推進体制の構築が重要になる。[製品資料],Tue Feb 09 2021 00:00:00 GMT+0900 (日本標準時),https://wp.techtarget.itmedia.co.jp/contents/53334
[横河レンタ・リース株式会社] テレワーク時代のセキュリティは何を重視すべき？　調査で見えたIT投資の勘所,テレワークの導入が加速する一方、これからのIT投資では何を重視すべきか悩む企業は少なくない。特に多くの企業で課題となっている「セキュリティの強化」に焦点を当て、調査結果を基に対策のポイントを解説する。[Webキャスト],テレワークの導入が加速する一方、これからのIT投資では何を重視すべきか悩む企業は少なくない。特に多くの企業で課題となっている「セキュリティの強化」に焦点を当て、調査結果を基に対策のポイントを解説する。[Webキャスト],Mon Feb 08 2021 00:00:00 GMT+0900 (日本標準時),https://wp.techtarget.itmedia.co.jp/contents/53353
