title,description,summary,pubDate,url
画像認識AIで路面凍結を発見、降雪時の視界不良も測定　新潟で実証実験,日本気象協会がAIを活用して、悪天候時の路面状態や視界の悪さをリアルタイムで測定する実験を始める。計測機器がなくても路面凍結などを把握できるようになり、交通事故の抑止に役立つという。,日本気象協会がAIを活用して、悪天候時の路面状態や視界の悪さをリアルタイムで測定する実験を始める。計測機器がなくても路面凍結などを把握できるようになり、交通事故の抑止に役立つという。,Mon Feb 15 2021 17:14:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/news/articles/2102/15/news120.html
「プリコネ」「グラブル」　Cygames木村専務に聞く「大ヒットを連発できる理由」,厳しいスマホゲーム業界の生存競争を生き抜き、「プリンセスコネクト！Re:Dive」「グランブルーファンタジー」「Shadowverse（シャドウバース）」などヒット作を連発し、複数の作品で5年以上にわたりトップセールスを維持し続けているCygames。プロデューサーとしてゲーム開発にも携わる木村唯人専務に、ヒット作を連発できる理由を聞いた。,厳しいスマホゲーム業界の生存競争を生き抜き、「プリンセスコネクト！Re:Dive」「グランブルーファンタジー」「Shadowverse（シャドウバース）」などヒット作を連発し、複数の作品で5年以上にわたりトップセールスを維持し続けているCygames。プロデューサーとしてゲーム開発にも携わる木村唯人専務に、ヒット作を連発できる理由を聞いた。,Mon Feb 15 2021 16:46:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/business/articles/2102/15/news031.html
5Gのエリア拡大とともに広がるミッドレンジスマホ　ソフトバンクとauの戦略を解説,5Gのエリアが広がるとともに、端末のバリエーションも広がり始めている。当初はフラグシップモデルが中心だったが、2020年の秋冬ごろから徐々に5万円を下回るエントリーモデルが増えてきた。ソフトバンクとKDDIが、春商戦向けの安価な5Gスマートフォンを発表。両社の戦略を中心に解説する。,5Gのエリアが広がるとともに、端末のバリエーションも広がり始めている。当初はフラグシップモデルが中心だったが、2020年の秋冬ごろから徐々に5万円を下回るエントリーモデルが増えてきた。ソフトバンクとKDDIが、春商戦向けの安価な5Gスマートフォンを発表。両社の戦略を中心に解説する。,Mon Feb 15 2021 14:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/mobile/articles/2102/15/news079.html
auがミッドレンジスマホ「Galaxy A32 5G」「OPPO A54 5G」発表　国内ではau限定,KDDIが2月15日、5G対応のミッドレンジスマートフォン「Galaxy A32 5G」と「OPPO A54 5G」を発表。Galaxy A32 5Gは2月25日から、OPPO A54 5Gは5月下旬以降に発売する。2機種とも国内ではau限定モデルとなる。,KDDIが2月15日、5G対応のミッドレンジスマートフォン「Galaxy A32 5G」と「OPPO A54 5G」を発表。Galaxy A32 5Gは2月25日から、OPPO A54 5Gは5月下旬以降に発売する。2機種とも国内ではau限定モデルとなる。,Mon Feb 15 2021 14:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/mobile/articles/2102/15/news100.html
ダイヤル式金庫の仕組みを再現　カプセルトイ「マジで破れる金庫」発売,ブシロードクリエイティブは2月15日、ダイヤル式金庫の仕組みを再現したカプセルトイ「マジで破れる金庫」を発売した。1回300円（税込）。,ブシロードクリエイティブは2月15日、ダイヤル式金庫の仕組みを再現したカプセルトイ「マジで破れる金庫」を発売した。1回300円（税込）。,Mon Feb 15 2021 13:11:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/news/articles/2102/15/news095.html
新型コロナワクチンの接種時期、年齢と居住地から予測　JX通信社のアプリに新機能,JX通信社が提供するニュース速報アプリ「NewsDigest」（iOS／Android、無料）に年齢や居住地から新型コロナウイルスワクチンの接種スケジュールを予測する機能が追加された。アプリ内の特設ページから無料で閲覧できる。,JX通信社が提供するニュース速報アプリ「NewsDigest」（iOS／Android、無料）に年齢や居住地から新型コロナウイルスワクチンの接種スケジュールを予測する機能が追加された。アプリ内の特設ページから無料で閲覧できる。,Mon Feb 15 2021 12:57:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/news/articles/2102/15/news093.html
ソフトバンク、4G周波数帯を転用した5Gサービス開始　東京・愛知でエリア拡大,ソフトバンクが、4G周波数帯の700MHz、1.7GHz、3.4GHz帯を転用した5Gサービスを東京都と愛知県の一部で始めた。,ソフトバンクが、4G周波数帯の700MHz、1.7GHz、3.4GHz帯を転用した5Gサービスを東京都と愛知県の一部で始めた。,Mon Feb 15 2021 12:40:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/news/articles/2102/15/news089.html
第11世代Core iに対応したIntel Z590マザーが旧正月前に滑り込み！,Intelの次世代CPUに対応する新チップセット「Intel Z590」を搭載したマザーボードが、複数のメーカーから登場。様子見の空気が濃厚だが、注目度は高い。,Intelの次世代CPUに対応する新チップセット「Intel Z590」を搭載したマザーボードが、複数のメーカーから登場。様子見の空気が濃厚だが、注目度は高い。,Mon Feb 15 2021 12:00:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/pcuser/articles/2102/15/news085.html
新型コロナワクチン接種のビル・ゲイツ氏長女「残念ながら父の才能チップは移植されなかった」と投稿,「ビル・ゲイツが開発している新型コロナのワクチンは、実は人々の思考を監視するためのマイクロチップを移植するためのものだ」などの陰謀論が一部で広まる中、ゲイツ氏の長女で医学生のジェニファーさんがワクチン接種報告Instagramで、チップは入っていなかったと書いた。,「ビル・ゲイツが開発している新型コロナのワクチンは、実は人々の思考を監視するためのマイクロチップを移植するためのものだ」などの陰謀論が一部で広まる中、ゲイツ氏の長女で医学生のジェニファーさんがワクチン接種報告Instagramで、チップは入っていなかったと書いた。,Mon Feb 15 2021 11:30:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/news/articles/2102/15/news080.html
M1チップ搭載MacBook Proの納期が「1～3営業日」に短縮,M1搭載Macでは、MacBook AirよりもMacBook Proの方が入手しやすくなった。,M1搭載Macでは、MacBook AirよりもMacBook Proの方が入手しやすくなった。,Mon Feb 15 2021 11:13:00 GMT+0900 (日本標準時),https://www.itmedia.co.jp/news/articles/2102/15/news077.html
